group;main_unit_off;main_unit_ps;main_unit_fid
group 7;"ВЛ-6кВ Ф-5,6,14,15 ПС 35/6кВ ""КНС-Ае""";КНС-Ае;
group 7;"ПС 35/6кВ ""КНС-3""";КНС-3;
group 7;ГТЭС;ГТЭС;
group 7;"П/С 110/35/6кВ ""Ермаковская""";;
group 7;"ВЛ-6кВ Ф-7 ПС 35/6кВ ""Пермяковская""";Пермяковская;7
group 4;В-6 ф.374-10;374;10
group 7;ВЛ-220 Белозерная-Мачтовая;;
group 7;"ВЛ-6кВ Ф-5,6 ПС 35/6кВ "" БКНС-4""";БКНС-4;
group 7;"ВЛ-6кВ Ф-8 ПС 35/6кВ ""Пермяковская""";Пермяковская;8
group 7;"ВЛ-6кВ Ф-4 ПС 35/6кВ "" К-130"", отпаечная Буровенческая линия на к.130";К-130;4
group 7;"ВЛ-6кВ Ф-8 ПС 35/6кВ ""Промысловая""";Промысловая;8
group 7;"ПС 110/35/6 кВ ""Хохряково"" Т-1 ";Хохряково;
group 7;"ВЛ-35кВ Ф-2,5 ПС 110/35/6 кВ ""Бахиловская"" ";Бахиловская;
group 7;"ПС 110/35/6 кВ ""Верхне-Колик-Еганская"" ";Верхне-Колик-Еганская;
group 7;"ВЛ-6кВ Ф-16 ПС 35/6кВ ""ЦПС"" ";ЦПС;16
group 7;ВЛ 110 кВ Таврическая 1,2;;
group 7;"ВЛ-6кВ Ф-20,8 ПС 35/6кВ ""К-20"" ";К-20;
group 7;"ВЛ-6кВ Ф-20 РУ 6кВ ""К-11"" ";К-11;20
group 7;"ВЛ-6кВ Ф-20 РУ 6кВ ""К-11"" ";К-11;20
group 7;"ПС 110/35/6 кВ ""Пермяк"" ";Пермяк;
group 7;" ВЛ 110 кВ ""Варьёган-Бахилы""          I-цепь";Варьёган-Бахилы;
group 7;" ВЛ 110 кВ ""Варьёган-Бахилы""          I-цепь";Варьёган-Бахилы;
group 7;"ПС 110/35/6 кВ ""Пермяк"" ";Пермяк;
group 7;" ВЛ 110 кВ ""Узловая-Бахилы""                   I I-цепь";Узловая-Бахилы;
group 7;ВЛ-35кВ Ф-3,7                                 ПС 110/35/6 Кошильская;110;
group 7;  ВЛ-6кВ Ф-6 ПС 35/6 Гвардейская;35;6
group 7;"ВЛ-35кВ Ф-4,5 ПС 110 ""Кошильская""";Кошильская;
group 7;"  ВЛ-6кВ Ф-9 ПС 35/6 ""БКНС-4""";БКНС-4;9
group 7;"ВЛ-6кВ Ф-8,18   ПС 35/6 ""К-20""";К-20;
